Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,3537.000000,3593.879883,3525.810059,3545.679932,3545.679932,2929700
2021-11-16,3539.000000,3576.500000,3525.149902,3540.699951,3540.699951,2217100
2021-11-17,3564.719971,3587.250000,3545.350098,3549.000000,3549.000000,2560300
2021-11-18,3566.350098,3704.199951,3561.000000,3696.060059,3696.060059,5703500
2021-11-19,3712.689941,3762.149902,3675.719971,3676.570068,3676.570068,4936700
2021-11-22,3676.379883,3713.459961,3567.500000,3572.570068,3572.570068,4842200
2021-11-23,3585.040039,3621.050049,3527.709961,3580.040039,3580.040039,3690200
2021-11-24,3562.669922,3613.639893,3536.850098,3580.409912,3580.409912,2328000
2021-11-26,3602.100098,3633.500000,3504.149902,3504.560059,3504.560059,2991300
2021-11-29,3547.639893,3596.000000,3531.500000,3561.570068,3561.570068,3265600
2021-11-30,3563.500000,3585.770020,3492.010010,3507.070068,3507.070068,4001100
2021-12-01,3545.000000,3559.879883,3441.600098,3443.719971,3443.719971,3745800
2021-12-02,3460.000000,3492.699951,3423.750000,3437.360107,3437.360107,3236300
2021-12-03,3455.000000,3469.870117,3338.600098,3389.790039,3389.790039,4035600
2021-12-06,3393.000000,3473.909912,3338.689941,3427.370117,3427.370117,3443000
2021-12-07,3492.000000,3549.989990,3466.689941,3523.290039,3523.290039,3320500
2021-12-08,3523.010010,3543.600098,3495.010010,3523.159912,3523.159912,2262700
2021-12-09,3515.000000,3539.389893,3482.790039,3483.419922,3483.419922,2303100
2021-12-10,3508.340088,3518.540039,3410.000000,3444.239990,3444.239990,3034500
2021-12-13,3440.000000,3442.000000,3382.600098,3391.350098,3391.350098,3108500
2021-12-14,3351.000000,3389.979980,3328.800049,3381.830078,3381.830078,2798800
2021-12-15,3371.959961,3472.000000,3303.899902,3466.300049,3466.300049,3789700
2021-12-16,3467.370117,3483.320068,3363.209961,3377.419922,3377.419922,3043800
2021-12-17,3354.209961,3417.969971,3312.270020,3400.350098,3400.350098,4277100
2021-12-20,3337.000000,3357.489990,3312.000000,3341.580078,3341.580078,2868600
2021-12-21,3357.010010,3414.330078,3312.949951,3408.340088,3408.340088,2797800
2021-12-22,3385.399902,3441.000000,3370.010010,3420.739990,3420.739990,2751800
